28-Dec,BELI DARI TEKNO,300,0

6-Jan,JUAL KE CONCREATE TRIMARAN,0,50

9-Jan,JUAL KE ACSET AHM,0,21

28-Jan,NRC MORISSEY,0,50

9-Feb,NRC MORISSET,0,50

16-Feb,KARMELINDO MAPOLSEK,160,0

20-Feb,ACSET AHM JUAL BARU - POTONG DARI 6 M,0,20

21-Feb,TBP CIKAL,318,0

22-Feb,TBP CIKAL,3,0

23-Feb,HARTAM PONDOK INDAH,0,50

3-Mar,TBP CIKAL,23,0

4-Mar,ACSET AHM JUAL BARU ,0,9

29-Mar,KARMELINDO MAPOLSEK,36,0

1-Apr,CONCREATE PIK2 JUAL,0,100

4-Apr,POTONGAN DARI 6 M,54,0

4-Apr,BELI DARI TEKNOMETAL,173,0

5-Apr,TBP SUMBANGSEL,0,300

8-Apr,BU LALA/ PAK AMOS,0,200

11-Apr,ACSET AHM JUAL,0,30

11-Apr,HARTAM PONDOK INDAH ( JUAL),0,70

2-May,TEKNOMETAL,186,0

9-May,ACSET JONGGOL JUAL,0,50

11-May,KARMELINDO MAPOLSEK,7,0

26-May,INDONAKANO IJWP,0,192

20-Jun,INDONAKANO IJWP,70,0

3-Jul,KARMELINDO MAPOLSEK,1,0

10-Aug,TBP ALAM SUTRA,361,0

21-Aug,PT TEKNO BELI,300,0

21-Aug,ACSET ADM JUAL,0,300

25-Aug,POTONG JADI TIEBAR 50,0,259

30-Aug,TEKNOMETAL,100,0

4-Sep,TBP PURI,0,100

11-Sep,TBP PURI,100,0

16-Sep,TBP ALAM SUTRA,15,0

29-Sep,TPI TARAKAN,0,60

30-Sep,TEKNOMETAL,42,0

30-Sep,TPI TARAKAN,0,190

4-Oct,HARTAM PONDOK INDAH,20,0

21-Oct,IBU YENTI DIAMOND GOLF,0,30

24-Oct,TEKNOMETAL,100,0

25-Oct,BUAT TIEBAR 1M,0,50

28-Oct,TEKNOMETAL,100,0

4-Nov,TBP PURI,0,10

13-Nov,TBP PURI,0,100

29-Nov,TEKNOMETAL,1000,0

29-Nov,GLOBAL JUAL,0,1000

11-Dec,TEKNOMETAL BELI,400,0

12-Dec,NKE RS MULYA MEDIKA,0,400

13-Dec,TEKNOMETAL BELI,50,0

13-Dec,BPK ANDRE/ BULALA TPB,0,50

14-Dec,HARTAM CARWHEEL,0,50

