6-Jan,INNOTECH TOL,13,0

20-Jan,RDM PURI MAL,8,0

24-Jan,ACSET DHARMAWANGSA,30,0

27-Jan,ACSET DHARMAWANGSA,50,0

30-Jan,RDM PURI MAL,8,0

6-Feb,TBP CIKAL,26,0

8-Feb,ACSET DHARMAWANGSA,50,0

8-Feb,ACSET DHARMAWANGSA,44,0

10-Feb,TBP CIKAL,43,0

13-Feb,TBP REZ,0,25

14-Feb,ACSET DHARMAWANGSA,25,0

17-Feb,ACSET DHARMAWANGSA,42,0

17-Feb,ACSET DHARMAWANGSA,24,0

21-Feb,ACSET DHARMAWANGSA,22,0

21-Feb,TBP CIKAL,11,0

22-Feb,ACSET DHARMAWANGSA,13,0

22-Feb,TBP CIKAL,17,0

28-Feb,ACSET DHARMAWANGSA,25,0

1-Mar,ACSET DHARMAWANGSA,94,0

3-Mar,ACSET DHARMAWANGSA,82,0

6-Mar,ACSET DHARMAWANGSA,100,0

6-Mar,ACSET DHARMAWANGSA,80,0

9-Mar,TPI WAREHOUSE DEPOK,260,0

9-Mar,ACSET DHARMAWANGSA,50,0

10-Mar,ACSET DHARMAWANGSA,200,0

21-Mar,TPI WAREHOUSE DEPOK,199,0

24-Mar,ACSET DHARMAWANGSA,1,0

28-Mar,TPI WAREHOUSE DEPOK,192,0

29-Mar,INNOTECH ROYAL TULIP,0,133

31-Mar,TPI WAREHOUSE DEPOK,346,0

1-Apr,TPI WAREHOUSE DEPOK,3,0

6-Apr,INNOTECH ROYAL TULIP,0,100

11-Apr,INNOTECH ROYAL TULIP,0,200

8-May,INNOTECH ROYAL TULIP,0,200

9-May,INNOTECH ROYAL TULIP,0,200

15-May,INNOTECH ROYAL TULIP,0,133

10-Jun,INNOTECH AHM,0,150

15-Jun,INNOTECH AHM,0,200

16-Jun,INNOTECH AHM,0,100

17-Jun,INNOTECH AHM,0,50

18-Jun,INNOTECH AHM,0,200

21-Jun,TBP REZ,1,0

30-Jun,ACSET THAMRIN,0,100

0,WA YANTO GUDANG STOK 883,0,0

4-Jul,INNOTECH ROYAL TULIP,296,0

5-Jul,INNOTECH AHM,53,0

10-Jul,INNOTECH ROYAL TULIP,92,0

15-Jul,ACSET THAMRIN,0,100

18-Jul,INNOTECH ROYAL TULIP,130,0

26-Jul,INNOTECH ROYAL TULIP,66,0

27-Jul,ACSET THAMRIN,0,200

31-Jul,INNOTECH ROYAL TULIP,109,0

10-Aug,INNOTECH AHM,59,0

10-Aug,TBP REZ,11,0

13-Aug,TAKENAKA HM SAMPOERNA,0,170

14-Aug,TAKENAKA HM SAMPOERNA,0,200

15-Aug,TAKENAKA HM SAMPOERNA,0,350

16-Aug,TBP REZ,2,0

18-Aug,INNOTECH ROYAL TULIP,21,0

18-Aug,TBP REZ,5,0

21-Aug,INNOTECH ROYAL TULIP,6,0

22-Aug,ACSET THAMRIN,254,0

22-Aug,INNOTECH ROYAL TULIP,8,0

23-Aug,INNOTECH AHM,119,0

23-Aug,TBP REZ,4,0

24-Aug,TBP REZ,2,0

28-Aug,TBP PURI,0,200

29-Aug,TBP PURI,0,150

29-Aug,INNOTECH ROYAL TULIP,25,0

30-Aug,TBP PURI,0,100

31-Aug,INNOTECH ROYAL TULIP,48,0

31-Aug,TBP REZ,4,0

1-Sep,TBP PLTU SUMBANGSEL,0,128

4-Sep,TBP PURI,0,300

4-Sep,INNOTECH ROYAL TULIP,66,0

6-Sep,INNOTECH ROYAL TULIP,9,0

6-Sep,INNOTECH AHM,123,0

8-Sep,TBP PURI,0,120

9-Sep,TBP PURI,0,84

11-Sep,TBP PURI,0,120

11-Sep,INNOTECH AHM,32,0

13-Sep,INNOTECH ROYAL TULIP,30,0

14-Sep,TBP PURI,0,225

15-Sep,TBP PURI,0,105

18-Sep,INNOTECH TOL,62,0

20-Sep,INNOTECH AHM,31,0

22-Sep,TAKENAKA HM SAMPOERNA,251,0

22-Sep,TAKENAKA HM SAMPOERNA,278,0

25-Sep,INNOTECH AHM,16,0

25-Sep,INNOTECH AHM,11,0

2-Oct,INNOTECH AHM,35,0

3-Oct,INNOTECH AHM,38,0

5-Oct,INNOTECH ROYAL TULIP,3,0

5-Oct,ACSET THAMRIN,69,0

10-Oct,POTONG MENJADI V 1 DAN V 0.5 TARSIM,0,83

12-Oct,TBP PLTU SUMBANGSEL,0,28

16-Oct,TBP PLTU SUMBANGSEL,0,56

18-Oct,TBP PURI,0,50

18-Oct,TBP REZ KELEBIHAN,0,4

18-Oct,INNOTECH AHM,65,0

20-Oct,TBP PURI,0,200

26-Oct,INNOTECH AHM,3,0

9-Nov,ACSET THAMRIN,77,0

16-Nov,TBP PLTU SUMBANGSEL,0,64

21-Nov,TBP PLTU SUMBANGSEL TG,0,252

22-Nov,INNOTECH AHM,48,0

13-Dec,INNOTECH AHM,7,0

13-Dec,TBP PIM2,78,0

18-Dec,TPI BLITAR,165,0

19-Dec,TBP CIKAL 2,16,0

22-Dec,TBP PIM2,12,0

